지표 분류,지표명,측정 방법,목표 수치,측정 주기,중요도
개발 성과,일정 준수율,계획 대비 실제 일정,95% 이상,주간,높음
개발 성과,기능 완성도,요구 기능 대비 구현률,100%,마일스톤별,높음
개발 성과,버그 발생률,테스트 결과 기준,5% 이하,주간,높음
개발 성과,코드 품질 점수,SonarQube 등 도구 사용,80점 이상,코드 커밋시,중간
사용자 만족도,사용자 만족도 점수,사용자 설문조사 (5점 척도),4.0점 이상,분기별,높음
사용자 만족도,시스템 사용률,월간 활성 사용자 수,80% 이상,월간,높음
사용자 만족도,사용자 교육 완료율,교육 이수 인원 비율,90% 이상,초기 1회,중간
비즈니스 효과,영업 보고 작성 시간 단축,기존 대비 작성 시간 측정,50% 단축,월간,높음
비즈니스 효과,팔로우업 처리율 향상,완료된 팔로우업 비율,20% 향상,월간,높음
비즈니스 효과,고객 방문 효율성 개선,방문당 성과 지표,30% 향상,분기별,중간
기술적 성과,시스템 가용성,월간 다운타임 측정,99% 이상,일간,중간
기술적 성과,응답 속도,평균 페이지 로드 시간,3초 이하,일간,중간
